Lektion	,	Fremdsprache	,	Geschlecht	,	Wortart	,	Deutsch	,	Details
1	,	Here we go	,		,	Redewendung	,	Los geht's	,	
1	,	I' am a seal	,		,	Redewendung	,	Ich bin eine Robbe	,	
1	,	seal	,		,	Nomen	,	Robbe	,	
1	,	My name is Silky	,		,	Redewendung	,	Ich heiße Silky	,	
1	,	I'm two years old	,		,	Redewendung	,	Ich bin 2 Jahre alt	,	
1	,	I'm from …	,		,	Redewendung	,	Ich komme aus …	,	
1	,	in England	,		,	Redewendung	,	in England	,	
1	,	What about you?	,		,	Redewendung	,	Und du?	,	
1	,	one	,		,	Zahlwort	,	1	,	
1	,	two	,		,	Zahlwort	,	2	,	
1	,	three	,		,	Zahlwort	,	3	,	
1	,	four	,		,	Zahlwort	,	4	,	
1	,	five	,		,	Zahlwort	,	5	,	
1	,	six	,		,	Zahlwort	,	6	,	
1	,	seven	,		,	Zahlwort	,	7	,	
1	,	eight	,		,	Zahlwort	,	8	,	
1	,	nine	,		,	Zahlwort	,	9	,	
1	,	ten	,		,	Zahlwort	,	10	,	
1	,	eleven	,		,	Zahlwort	,	11	,	
1	,	twelve	,		,	Zahlwort	,	12	,	
1	,	thirteen	,		,	Zahlwort	,	13	,	
1	,	fourteen	,		,	Zahlwort	,	14	,	
1, I, , Pronomen, ich, Wird immer groß geschrieben!
