Lektion	,	Fremdsprache	,	Geschlecht	,	Wortart	,	Deutsch	,	Details
1	,	sol	,	m	,	Nomen	,	Sonne	,	
1	,	ardere	,		,	Verb	,	(ver)brennen; entbrannt sein	,	
1	,	silentium	,	n	,	Nomen	,	Stille; Ruhe; Schweigen	,	
1	,	esse	,		,	Verb	,	sein	,	
1	,	villa	,	f	,	Nomen	,	das (Land)haus; das Landgut	,	
1	,	iacere	,		,	Verb	,	(da)liegen	,	
1	,	etiam	,		,	Adverb	,	auch	,	
1	,	canis	,	m	,	Nomen	,	Hund	,	
1	,	tacere	,		,	Verb	,	schweigen	,	
1	,	asinus	,	m	,	Nomen	,	Esel	,	
1	,	non iam	,		,	Adverb	,	nicht mehr	,	
1	,	clamare	,		,	Verb	,	schreien; laut rufen	,	
1	,	stare	,		,	Verb	,	(da)stehen	,	
1	,	et	,		,	Konjunktion	,	und	,	
1	,	exspectare	,		,	Verb	,	erwarten; warten (auf)	,	
1	,	ubi	,		,	Konjunktion	,	Wo	,	
1	,	cur	,		,	Adverb	,	Warum	,	
1	,	amica	,	f	,	Nomen	,	Freundin	,	
1	,	non	,		,	Adverb	,	nicht  	,	
1	,	venire	,		,	Verb	,	kommen	,	
1	,	cessare	,		,	Verb	,	zögern; sich Zeit lassen	,	
1	,	placere	,		,	Verb	,	gefallen; Spaß machen	,	
1	,	subito	,		,	Adverb	,	plötzlich	,	
1	,	quis	,		,	Pronomen	,	wer	,	
1	,	quid	,		,	Pronomen	,	was	,	
1	,	ecce!	,		,	Verb	,	Schau! Sieh da!	,	
